Object
AH
AOL
AP-Defender
ARCHIE
BGP
BIFF
BOOTP
BackDoor-G
Backage
Blubster
CP_SecureAgent-udp
CUSeeMe
Citrix_ICA
Citrix_ICA_Browsing
Connect-Back_Backdoor
DAYTIME-TCP
DAYTIME-UDP
DHCP-REF-LOCALMODULE
DISCARD-TCP
DISCARD-UDP
DOMAIN-TCP
DOMAIN-UDP
DaCryptic
DerSphere
Direct_Connect_TCP
Direct_Connect_UDP
ECHO-TCP
ECHO-UDP
EDONKEY_4661
EDONKEY_4662
EDONKEY_4665
EIGRP
ENTRUST-CA
ESP
EXEC
FINGER
FTP
FTPS
Freak2k
FreeTel-outgoing-server
GNUtella_TCP
GNUtella_UDP
GNUtella_rtr_TCP
GNUtella_rtr_UDP
GOPHER
GRE
GateCrasher
GoToMyPC
HTTP
HTTPS
HackaTack_31785
HackaTack_31787
HackaTack_31788
HackaTack_31789
HackaTack_31790
HackaTack_31791
HackaTack_31792
Hotline_client
Hotline_tracker
HTTP_PROXY
ICKiller
ICMP-ALL
ICMP-ECHO
ICMP-ECHO-REPLY
ICMP-INFO
ICMP-INFO-REPLY
ICMP-MASK
ICMP-MASK-REPLY
ICMP-PARAM-PRBLM
ICMP-REDIRECT
ICMP-ROUTER-ADV
ICMP-SRC-QUENCH
ICMP-TIME-EXCD
ICMP-TIMESTAMP
ICMP-TIMESTAMP-REPLY
ICMP-UNREACH
ICMPv6-ALL
ICMPv6-DEST-UNREACH
ICMPv6-PKT-TOOBIG
ICMPv6-TIME-EXCEED
ICMPv6-PARAMPROB
ICMPv6-ECHO-REQUEST
ICMPv6-ECHO-REPLY
ICMPv6_MGM_QUERY
ICMPv6_MGM_REPORT
ICMPv6_MGM_REDUCTION
ICMPv6_NI_QUERY
ICMPv6_NI_REPLY
ICMPv6-MLD2-REPORT
ICQ_locator
IDENT
IGMP
IGRP
IKE_tcp
IMAP
IMAPS
IMESH
INFOSEEK-TCP
INFOSEEK-UDP
INGRES-TCP
INGRES-UDP
INTERPHONE
IPCOMP
IPENCAP
IPSEC-AH
IPSEC-ESP
IPSEC-SKIP
IPSO_Clustering_Mgmt_Protocol
IPv6-NONXT
IRC-Default
IRC
IS411-srvr
ISAKMP
ISIS
ISIS-TCP
ISIS-UDP
InCommand
Jade
KERBEROS-TCP
KERBEROS-UDP
KaZaA
Kaos
Kerberos_v5_TCP
Kerberos_v5_UDP
Kuang2
L2TP
L2TP-UDP
LDAP
LDAP-SSL
LOGIN
LOTUSNOTE
LPDWORM
MGCP
MGCP_CA
MICROSOFT-DS-UDP
MS-SNA-TCP
MS-SNA-UDP
MS-SQL-TCP
MS-SQL-UDP
MSNP
MSN_Messenger_1863_UDP
MSN_Messenger_5190
MSM_Messenger_File_Transfer
MSM_Messenger_Voice
Madster
MetaIP-UAT
Mneah
Multidropper
MySQL
NAME
NCP
NETBIOS-TCP
NETBIOS-UDP-NS
NETBIOS-UDP
NETSTAT
NFSD
NFSD-TCP
NNTP
NTP-TCP
NTP-UDP
Napster_Client_6600-6699
Napster_directory_4444
Napster_directory_5555
Napster_directory_6666
Napster_directory_7777
Napster_directory_8888_primary
Napster_redirector
NoBackO
OAS-NameServer
OAS-ORB
OPENMAIL
OPENWIN
ORACLE-TCP
ORACLE-UDP
OSPF
Orbix-1570
Orbix-1571
PCANYWHERE-data
PCANYWHERE-stat
PCTELECOMMUTE-FileSync
PIM
PIM-TCP
PIM-UDP
POP2
POP3
POP3S
PPTP-GRE
PPTP-TCP
Port_6667_trojans
PostgreSQL
RADACCT
RADIUS
RADIUS-NEW
RAT
REALPLAYER
RIP
RIPng
RMI_Registry
RPC-TCP
RPC-UDP
RPC-UDP-32789
RSVP
RSVP-TCP
RSVP-UDP
RTSP
RainWall_Command
RealSecure
Remote_Storm
RexxRave
SECUREID-TCP
SECUREID-UDP
SHELL
SIP
SKIP
SMARTIN1
SMARTIN2
SMARTIN3
SMARTOUT1
SMTP
SMTP-Submission
SMTPS
SNMP
SNMPTRAP
SOCKS-TCP
SOCKS-UDP
SQLNET
SSH
STREAMWORKS
SYSLOG
Shadyshell
SocketsdesTroie
StoneBeat-Control
StoneBeat-Daemon
SubSeven
T.120
TACACS
TACACS-PLUS
TCP-high-ports
TCP_SIP
TELNET
TFTP
TIME-TCP
TIME-UDP
TRACEROUTE-ICMP
TRACEROUTE-UDP
Terminal
Terrortrojan
TheFlu
TransScout
Trinoo
UDP-high-ports
UUCP
UltorsTrojan
VOIP-TCP
VOIP-UDP-RAS
VOIP-UDP
WAIS
WHO
WINFRAME
WINS-TCP
WINS-UDP
WMPLAYER
WinHole
WinMX
X11
Xanadu
Yahoo_Messenger_Voice_Chat_TCP
Yahoo_Messenger_Voice_Chat_UDP
Yahoo_Messenger_Webcams
Yahoo_Messenger_messages
